"GFR","2003-2006","2007-2010","2011-2014","2015-2018"
20,"0.1","0.2","0.3","0.2"
25,"0.3","0.2","0.4","0.3"
30,"0.4","0.4","0.5","0.4"
35,"0.7","0.7","0.9","0.8"
40,"1.0","0.9","1.3","1.1"
45,"1.7","1.4","1.8","1.5"
50,"2.5","2.0","2.8","2.4"
55,"4.0","3.1","4.6","3.6"
60,"6.0","5.2","6.4","5.9"
65,"8.8","7.9","9.0","8.7"
70,"12.6","11.6","13.5","13.0"
75,"18.1","16.1","18.6","17.3"
80,"26.5","22.5","24.5","23.9"
85,"34.8","29.5","31.7","31.3"
90,"43.9","38.2","41.6","40.3"
95,"53.7","46.9","51.2","50.2"
100,"63.4","57.3","61.2","59.2"
105,"72.9","67.8","69.9","68.7"
110,"80.6","76.5","78.2","77.0"
115,"86.4","83.9","85.4","83.5"
120,"91.9","89.9","91.4","90.6"
125,"96.6","94.7","95.5","95.0"
130,"98.6","97.6","97.9","97.6"
135,"99.3","99.0","99.0","98.8"
140,"99.6","99.5","99.5","99.4"
