"Era","Stage","Percent"
"2003-2006","Stage 1","2.8"
"2003-2006","Stage 2","3.2"
"2003-2006","Stage 3","8.0"
"2003-2006","Stage 4","0.5"
"2003-2006","Stage 5","0.1"
"2007-10","Stage 1","3.0"
"2007-10","Stage 2","3.3"
"2007-10","Stage 3","6.9"
"2007-10","Stage 4","0.5"
"2007-10","Stage 5","0.1"
"2011-14","Stage 1","3.7"
"2011-14","Stage 2","2.9"
"2011-14","Stage 3","8.0"
"2011-14","Stage 4","0.4"
"2011-14","Stage 5","0.1"
"2015-2018","Stage 1","4.0"
"2015-2018","Stage 2","3.4"
"2015-2018","Stage 3","7.4"
"2015-2018","Stage 4","0.3"
"2015-2018","Stage 5","0.1"
